DATE,,DEATHS_DUE_TO_MAJOR_ILLNESS,COVID_DEATHS,,,DEATHS_DUE_BOTH_COVID_MAJOR_ILLNESS,,PREDICTED_DEATHS_DUE_MAJOR_ILLNESS_IF_COVID_NEVER_HAPPEN,,DEATH_DUE_TO_ROAD_ACCIDENTS,,DEATHS_BOTH_COVID_AND_ACCIDENTS,,PREDICTED_ACCIDENTS_IF_COVID_NEVER_HAPPENS,,,DEATHS_DUE_TO_MAJOR_ILLNESS_ACCIDENT,DEATHS_DUE_BOTH_COVID_MAJOR_ILLNESS_ACCIDENTS,PREDICTED_DEATHS_DUE_MAJOR_ILLNESS_AND_ACCIDENTS_IF_COVID_NEVER_HAPPEN
18-Jan,21717,0.016086667,0,0,21717,0.016086667,21717,0.016086667,12416,0.009197037,12416,0.009197037,12416,0.009197037,,,0.025283704,0.025283704,0.025283704
18-Feb,18600,0.013777778,0,0,18600,0.013777778,18600,0.013777778,11656,0.008634074,11656,0.008634074,11656,0.008634074,,,0.022411852,0.022411852,0.022411852
18-Mar,19303,0.014298519,0,0,19303,0.014298519,19303,0.014298519,13013,0.009639259,13013,0.009639259,13013,0.009639259,,,0.023937778,0.023937778,0.023937778
18-Apr,17839,0.013214074,0,0,17839,0.013214074,17839,0.013214074,13420,0.009940741,13420,0.009940741,13420,0.009940741,,,0.023154815,0.023154815,0.023154815
18-May,21342,0.015808889,0,0,21342,0.015808889,21342,0.015808889,14368,0.010642963,14368,0.010642963,14368,0.010642963,,,0.026451852,0.026451852,0.026451852
18-Jun,21810,0.016155556,0,0,21810,0.016155556,21810,0.016155556,13429,0.009947407,13429,0.009947407,13429,0.009947407,,,0.026102963,0.026102963,0.026102963
18-Jul,23555,0.017448148,0,0,23555,0.017448148,23555,0.017448148,11742,0.008697778,11742,0.008697778,11742,0.008697778,,,0.026145926,0.026145926,0.026145926
18-Aug,23787,0.01762,0,0,23787,0.01762,23787,0.01762,11053,0.008187407,11053,0.008187407,11053,0.008187407,,,0.025807407,0.025807407,0.025807407
18-Sep,24357,0.018042222,0,0,24357,0.018042222,24357,0.018042222,10867,0.00804963,10867,0.00804963,10867,0.00804963,,,0.026091852,0.026091852,0.026091852
18-Oct,23633,0.017505926,0,0,23633,0.017505926,23633,0.017505926,12172,0.009016296,12172,0.009016296,12172,0.009016296,,,0.026522222,0.026522222,0.026522222
18-Nov,22303,0.016520741,0,0,22303,0.016520741,22303,0.016520741,12704,0.00941037,12704,0.00941037,12704,0.00941037,,,0.025931111,0.025931111,0.025931111
18-Dec,20930,0.015503704,0,0,20930,0.015503704,20930,0.015503704,13405,0.00992963,13405,0.00992963,13405,0.00992963,,,0.025433334,0.025433334,0.025433334
19-Jan,20328,0.015057778,0,0,20328,0.015057778,20328,0.015057778,13196,0.009774815,13196,0.009774815,13196,0.009774815,,,0.024832593,0.024832593,0.024832593
19-Feb,18234,0.013506667,0,0,18234,0.013506667,18234,0.013506667,12030,0.008911111,12030,0.008911111,12030,0.008911111,,,0.022417778,0.022417778,0.022417778
19-Mar,18520,0.013718519,0,0,18520,0.013718519,18520,0.013718519,13205,0.009781481,13205,0.009781481,13205,0.009781481,,,0.0235,0.0235,0.0235
19-Apr,18475,0.013685185,0,0,18475,0.013685185,18475,0.013685185,13112,0.009712593,13112,0.009712593,13112,0.009712593,,,0.023397778,0.023397778,0.023397778
19-May,23097,0.017108889,0,0,23097,0.017108889,23097,0.017108889,14644,0.010847407,14644,0.010847407,14644,0.010847407,,,0.027956296,0.027956296,0.027956296
19-Jun,22167,0.01642,0,0,22167,0.01642,22167,0.01642,13983,0.010357778,13983,0.010357778,13983,0.010357778,,,0.026777778,0.026777778,0.026777778
19-Jul,23673,0.017535556,0,0,23673,0.017535556,23673,0.017535556,11875,0.008796296,11875,0.008796296,11875,0.008796296,,,0.026331852,0.026331852,0.026331852
19-Aug,24303,0.018002222,0,0,24303,0.018002222,24303,0.018002222,10740,0.007955556,10740,0.007955556,10740,0.007955556,,,0.025957778,0.025957778,0.025957778
19-Sep,23228,0.017205926,0,0,23228,0.017205926,23228,0.017205926,10148,0.007517037,10148,0.007517037,10148,0.007517037,,,0.024722963,0.024722963,0.024722963
19-Oct,31051,0.023000741,0,0,31051,0.023000741,31051,0.023000741,11595,0.008588889,11595,0.008588889,11595,0.008588889,,,0.03158963,0.03158963,0.03158963
19-Nov,22385,0.016581481,0,0,22385,0.016581481,22385,0.016581481,12504,0.009262222,12504,0.009262222,12504,0.009262222,,,0.025843703,0.025843703,0.025843703
19-Dec,21161,0.015674815,0,0,21161,0.015674815,21161,0.015674815,12660,0.009377778,12660,0.009377778,12660,0.009377778,,,0.025052593,0.025052593,0.025052593
20-Jan,19934,0.014765926,0,0,19934,0.014765926,19754,0.014632593,13688,0.010139259,13688,0.010139259,13688,0.010139259,,,0.024905185,0.024905185,0.024771852
20-Feb,17192,0.012734815,0,0,17192,0.012734815,16404,0.012151111,12577,0.009316296,12577,0.009316296,13966,0.010345185,,,0.022051111,0.022051111,0.022496296
20-Mar,15675,0.011611111,47,3.48E-05,15722,0.011645926,19054,0.014114074,4056,0.003004444,4103,0.003039259,14244,0.010551111,,,0.014615555,0.01465037,0.024665185
20-Apr,18747,0.013886667,1107,0.00082,19854,0.014706667,18704,0.013854815,3026,0.002241481,4133,0.003061481,14522,0.010757037,,,0.016128148,0.016948148,0.024611852
20-May,22167,0.01642,4252,0.00314963,26419,0.01956963,18354,0.013595556,7454,0.005521481,11706,0.008671111,14800,0.010962963,,,0.021941481,0.025091111,0.024558519
20-Jun,20517,0.015197778,12005,0.008892593,32522,0.02409037,18004,0.013336296,8962,0.006638519,20967,0.015531111,15078,0.011168889,,,0.021836297,0.030728888,0.024505185
20-Jul,21334,0.015802963,19155,0.014188889,40489,0.029991852,17654,0.013077037,10254,0.007595556,29409,0.021784444,15356,0.011374815,,,0.023398519,0.037587407,0.024451852
20-Aug,21534,0.015951111,28879,0.021391852,50413,0.037342963,17304,0.012817778,12587,0.009323704,41466,0.030715556,15634,0.011580741,,,0.025274815,0.046666667,0.024398519
20-Sep,21734,0.016099259,32677,0.024205185,54411,0.040304444,16954,0.012558519,10214,0.007565926,42891,0.031771111,15912,0.011786667,,,0.023665185,0.04787037,0.024345186
